Date,Day_of_the_week,App (Use all CAPITALS),Minutes,Category
09/03,Sunday,INSTAGRAM,125,Social Media
09/03,Sunday,TIKTOK,118,Social Media
09/03,Sunday,MESSAGES,109,Other
09/03,Sunday,ZEUS,34,Entertainment
09/03,Sunday,MAPS,26,Travel
09/03,Sunday,NOTES,17,Other
09/03,Sunday,MUSI,9,Other
09/04,Monday,MAPS,148,Travel
09/04,Monday,TIKTOK,142,Social Media
09/04,Monday,INSTAGRAM,113,Social Media
09/04,Monday,MESSAGES,105,Other
09/04,Monday,ZEUS,24,Entertainment
09/04,Monday,MUSI,22,Other
09/04,Monday,PHOTOS,5,Other
09/05,Tuesday,TIKTOK,209,Social Media
09/05,Tuesday,INSTAGRAM,196,Social Media
09/05,Tuesday,MESSAGES,97,Other
09/05,Tuesday,MUSI,52,Other
09/05,Tuesday,ZEUS,22,Entertainment
09/05,Tuesday,PHONE,13,Other
09/05,Tuesday,SNAPCHAT,11,Social Media
09/06,Wednesday,INSTAGRAM,74,Social Media
09/06,Wednesday,MESSAGES,71,Other
09/06,Wednesday,MAPS,59,Travel
09/06,Wednesday,TIKTOK,47,Social Media
09/06,Wednesday,MUSI,28,Other
09/06,Wednesday,SNAPCHAT,24,Social Media
09/06,Wednesday,GMAIL,21,Other
09/07,Thursday,INSTAGRAM,61,Social Media
09/07,Thursday,MESSAGES,37,Other
09/07,Thursday,SAFARI,27,Entertainment
09/07,Thursday,SETTINGS,23,Other
09/07,Thursday,TIKTOK,14,Social Media
09/07,Thursday,NOTES,11,Other
09/07,Thursday,GMAIL,9,Other
